Name,Category,VivinoScore,VivinoTitle,VivinoLink
Dog Crimes ''Cârnat'' Merlot,Tinto,3.7,Imperial Vin Dog Crimes Cârnat Merlot, https://www.vivino.com/BR/pt-BR/imperial-vin-dog-crimes-carnat-merlot/w/11981493
Dusha Monakha Cabernet Sauvignon,Tinto,3.8,Josh Cellars Cabernet Sauvignon, https://www.vivino.com/BR/pt-BR/josh-cellars-cabernet-sauvignon/w/1141363
Ionos Cabernet Sauvignon & Merlot,Tinto,NaN,Dialektos Oinos Cabernet Sauvignon - Merlot, https://www.vivino.com/BR/pt-BR/dialektos-oinos-cabernet-sauvignon-merlot-red-wine-v-2sarf/w/11410886
Irida Syrah PGI,Tinto,3.8,Cavino Irida Syrah, https://www.vivino.com/BR/pt-BR/cavino-irida-syrah-achaia/w/7453675
La Pietrosola Maremma DOC,Tinto,3.4,Canneta La Pietrosola Sangiovese Maremma Toscana, https://www.vivino.com/BR/pt-BR/canneta-la-pietrosola-sangiovese-maremma-toscana-maremma-toscana/w/8194025
Nemea Agiorgitiko PDO,Tinto,3.7,Gaía Agiorgitiko by Gaia, https://www.vivino.com/BR/pt-BR/gaia-nemea-agiorgitiko-by-gaia/w/1557062
Silver Diamond Butterfly Tempranillo DOC,Tinto,3.3,Bodegas Verduguez Silver Diamond Butterfly Tempranillo, https://www.vivino.com/BR/pt-BR/bodegas-verduguez-silver-diamond-butterfly-tempranillo/w/1223276
Villa Danastris Cabernet Sauvignon Limited Edition,Tinto,4,Carlevana Villa Danastris Special Edition Cabernet Sauvignon, https://www.vivino.com/BR/pt-BR/carlevana-villa-danastris-special-edition-cabernet-sauvignon/w/11571210
Hidalgo Castilla Chardonnay DOC,Branco,3.6,Hidalgo Castilla Chardonnay, https://www.vivino.com/BR/pt-BR/hidalgo-castilla-chardonnay/w/3740096
Hidalgo Castilla Verdejo DOC,Branco,3.6,Hidalgo Castilla Verdejo, https://www.vivino.com/BR/pt-BR/hidalgo-castilla-verdejo/w/2378712
Vasco Viejo White Blend,Branco,NaN,Viejo Rincon White Blend, https://www.vivino.com/BR/pt-BR/viejo-rincon-white-blend-mendoza/w/10892410
Empirico Saperavi & Pinot Noir Rosé (Rosé),Rosé,NaN,Apriori Wine Empirico Saperavi - Pinot Noir, https://www.vivino.com/BR/pt-BR/apriori-wine-empirico-saperavi-pinot-noir/w/11029205
Eu Passarinho Rose ''Sur Lie'' Edição Super Limitada (Rosé),Rosé,3.9,Garbo Evoluto Rosé Sur Lie, https://www.vivino.com/BR/pt-BR/garbo-rio-grande-do-sul-evoluto-rose-sur-lie/w/9284232
Faustino VII Rosado DOC (Rosé),Rosé,3.6,Bodegas Faustino VII Rosado, https://www.vivino.com/BR/pt-BR/bodegas-faustino-rioja-vii-rosado/w/22350
Lozco Rose PGI (Rosé),Rosé,3.9,Côte des Roses Rosé, https://www.vivino.com/BR/pt-BR/cote-des-roses-rose/w/3180824
Deus Natural Semisparkling Rosé  PGI,Espumante,3.9,Robertson Winery Natural Sweet Rosé, https://www.vivino.com/BR/pt-BR/robertson-natural-sweet-rose/w/1148944
Deus Natural Semisparkling White PGI,Espumante,3.5,Cavino Deus Semi Sparkling White, https://www.vivino.com/BR/pt-BR/cavino-deus-semi-sparkling-white/w/2850548
Marina Blanc de Blancs Brut DOC,Espumante,3.7,Sainte Rose Blanc de Blancs Brut, https://www.vivino.com/BR/pt-BR/sainte-rose-blanc-de-blancs-brut/w/1978559
